Team. NO.,Semester,PROJ,Type,Effort,ESLOC,RSLOC,DSLOC,KSLOC,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
1,fall2015/spring2016,s16b_Picshare_RA,Mobile&Web App,3113,8271,8059,8059,8.059,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
2,fall2015/spring2016,s16b_Picshare_AA,Mobile&Web App,1592,8561,8209,8209,8.209,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
3,fall2015,F15a_linggo,Web App,1142,10663,8100,8100,8.1,L,N,N,H,N,H,L,H,H,H,N,N,L,N,N,L,N,N,N,N,H,N
4,fall2015,F15a_combat_conflict,Web App,1281,7593,N/A,7593,7.593,H,H,N,H,N,N,L,L,H,N,N,N,N,N,N,H,L,L,VL,H,H,VL
5,fall2015,F15a_tour_conductor,Web App,1347,3679,3257,3679,3.679,H,H,L,H,L,N,N,N,VH,L,N,N,L,H,H,VH,L,L,N,VH,EXH,N
6,fall2015,F15a_construction_meeting_minutes_application,Mobile App,1482.5,1386,1045,1386,1.386,N,N,H,N,N,N,L,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
7,fall2015,F15a_nice_ecommerse,Web App,617,5129,N/A,5129,5.129,L,L,L,L,N,L,N,N,N,N,N,N,N,N,N,N,L,N,L,L,N,N
2,fall2014,F14a_soccer_data_web_crawler,Web App,268.5,2258,2000,2258,2.258,L,H,N,H,N,VH,H,H,H,N,N,N,L,H,N,VH,L,L,N,L,H,N
5,fall2014,F14a_snapp_voice_communication_system,web App,103,2218,2000,2218,2.218,N,N,H,H,N,N,L,N,N,N,N,N,L,N,H,H,L,N,VL,N,H,N
6,fall2014,F14a_black_professionals_net,web App,146.5,9202,N/A,9202,9.202,H,H,H,VH,N,H,H,N,L,N,N,H,L,H,L,L,H,L,L,N,VH,N
8,fall2014,f14a_e_lock_box,web App,125,7272,6400 (Reused) - 1100 (New),1100,1.1,N,H,N,N,H,H,N,N,H,N,N,N,L,N,N,VH,L,N,L,N,H,N
9,fall2014,F14a_tipsure_com,web App,266,8779,730,730,0.73,H,L,N,N,N,L,L,L,L,N,N,N,L,N,N,VH,H,N,H,L,VH,N
11,fall2014,F14a_sharethetraining_com,web App,571,9980,8116,8116,8.116,H,H,N,H,N,N,L,L,N,N,N,H,N,N,L,VH,L,N,N,N,H,N
13,fall2014,F14a_mobile_application_for_mobile_controlled_lighting,Mobile App,257.5,N/A,1500,1500,1.5,N,N,L,H,N,N,L,L,L,L,N,N,L,VH,VH,VL,H,N,H,H,VH,N
14,fall2014,F14a_women_at_work_website_redesign,Web App,140.5,N/A,3200,3200,3.2,L,H,H,H,L,N,L,N,L,N,N,H,L,H,H,VH,N,N,N,H,EXH,N
15,fall2014,f14a_gotrla,Mobile App,482,6569,3200,6569,6.569,N,N,N,H,N,N,L,N,L,N,N,H,L,N,N,VL,N,N,N,N,VH,N
1,fall2014/spring2015,S15b_we_are_trojans_network,Web App,1965,7067,6415,6415,6.415,H,H,N,H,N,N,L,N,N,N,N,N,N,H,H,VH,N,N,H,N,H,N
7,fall2014/spring2015,S15b_mission_science_irobots,Desktop App,759,12651,12263,12263,12.263,N,VH,N,H,N,N,L,N,L,N,H,N,L,N,H,H,H,H,N,H,VH,N
4,fall2014/spring2015,S16b_flower_seeker,Web App,804.5,7365,8720,7365,7.365,L,N,L,VH,N,H,H,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,N
10,fall2014/spring2015,F14a_REFERsy,Web App,263,7250,312288,7250,7.25,H,VH,H,VH,N,N,VH,N,L,L,EXH,N,H,H,VH,H,H,L,VH,VH,VH,N
12,fall2014/spring2015,f14a_cash_doctor,Mobile App,724,2671,2950,2950,2.95,N,N,H,H,N,N,H,N,L,N,N,N,H,H,H,VH,N,N,N,N,VH,N
3,fall2014/spring2015,s15b_snap_valet,Mobile App,302.5,5552,10232,552,0.552,H,H,L,H,L,N,H,N,VH,N,N,N,L,H,H,H,L,VH,L,VH,EXH,N
1,spring2014,s14b_location_based_ad,Mobile&Web App,3680,N/A,N/A,21344,21.344,N,N,H,H,N,N,H,H,N,H,N,N,N,H,N,VL,L,N,N,N,H,N
3,spring2016,s16_bad_driver,Mobile&Web App,1392,N/A,N/A,4710,4.71,N,N,L,N,N,H,H,N,N,H,H,H,N,H,N,L,N,N,N,N,N,N
4,spring2017,s17_tikiman_go,Mobile Game,737,N/A,N/A,3120,3.12,L,H,L,N,N,L,L,N,L,H,N,N,N,N,N,L,N,N,N,N,N,N
